tree_id,score,px_xmin,px_ymin,px_xmax,px_ymax,crown_width_px,crown_height_px,crown_diameter_px,crown_width_m,crown_height_m,crown_diameter_m,geo_x,geo_y,mean_r,mean_g,mean_b,std_r,std_g,std_b,greenness_exg,vari,brightness,tile_idx,tile_origin_col,tile_origin_row
264,0.5995,2803.0,1671.0,2847.0,1710.0,44.0,39.0,41.5,2.358,2.09,2.224,638515.508977,3863622.277382,120.1,126.9,50.9,31.5,31.7,19.8,82.88,0.0348,99.3,1,1920,0
265,0.5979,3794.0,1939.0,3824.0,1969.0,30.0,30.0,30.0,1.608,1.608,1.608,638568.241894,3863608.15738,136.8,141.0,54.1,28.5,26.0,19.4,91.05,0.0186,110.7,1,1920,0
266,0.5962,3186.0,1187.0,3216.0,1221.0,30.0,34.0,32.0,1.608,1.822,1.715,638535.658953,3863648.347139,128.0,133.1,50.3,24.6,28.3,17.0,87.98,0.0244,103.8,1,1920,0
267,0.5957,3354.0,1605.0,3386.0,1638.0,32.0,33.0,32.5,1.715,1.768,1.742,638544.715725,3863625.97484,143.7,142.8,71.1,29.0,29.5,26.9,70.87,-0.0039,119.2,1,1920,0
268,0.5957,2448.0,1226.0,2483.0,1259.0,35.0,33.0,34.0,1.876,1.768,1.822,638496.243241,3863646.284065,127.1,136.7,47.9,25.6,30.5,16.6,98.3,0.0444,103.9,1,1920,0
269,0.5939,2312.0,1296.0,2350.0,1329.0,38.0,33.0,35.5,2.036,1.768,1.902,638489.035337,3863642.533021,127.0,139.9,51.4,25.4,26.6,18.9,101.34,0.0596,106.1,1,1920,0
270,0.5935,3072.0,1617.0,3096.0,1640.0,24.0,23.0,23.5,1.286,1.233,1.259,638529.388881,3863625.599735,134.5,139.5,56.4,33.0,34.2,18.5,88.05,0.0228,110.1,1,1920,0
271,0.592,2897.0,1890.0,2931.0,1921.0,34.0,31.0,32.5,1.822,1.661,1.742,638520.278519,3863610.756318,137.2,138.2,67.8,29.4,31.9,21.1,71.34,0.0046,114.4,1,1920,0
272,0.5911,3101.0,1004.0,3129.0,1034.0,28.0,30.0,29.0,1.5,1.608,1.554,638531.050182,3863658.260613,149.5,150.0,62.4,28.8,32.2,20.0,88.01,0.0019,120.6,1,1920,0
273,0.5902,3774.0,1894.0,3813.0,1929.0,39.0,35.0,37.0,2.09,1.876,1.983,638567.411244,3863610.434799,110.2,115.5,46.4,21.8,21.9,15.6,74.47,0.0296,90.7,1,1920,0
274,0.5901,1983.0,1363.0,2011.0,1396.0,28.0,33.0,30.5,1.5,1.768,1.634,638471.136156,3863638.942736,118.8,123.5,53.7,24.0,27.6,16.5,74.58,0.025,98.7,1,1920,0
275,0.5888,2865.0,1110.0,2896.0,1138.0,31.0,28.0,29.5,1.661,1.5,1.581,638518.483242,3863652.634047,122.2,124.3,58.1,22.1,22.9,15.7,68.34,0.0112,101.5,1,1920,0
276,0.5874,3426.0,1900.0,3470.0,1937.0,44.0,37.0,40.5,2.358,1.983,2.17,638548.895773,3863610.059695,145.2,140.5,69.3,26.4,26.4,21.5,66.55,-0.0216,118.3,1,1920,0
277,0.5872,2149.0,1908.0,2182.0,1938.0,33.0,30.0,31.5,1.768,1.608,1.688,638480.166132,3863609.818556,107.0,112.4,51.8,25.6,28.0,17.1,65.99,0.0321,90.4,1,1920,0
